"mcp_code","mcp_name","province","region","year","month","mean_monthly","total_monthly","month_char","pop_tot","incidence"
"11001","Aartselaar","Antwerpen","Flanders",2021,1,1.83870967741935,57,"January",14455,3.94327222414389
"11001","Aartselaar","Antwerpen","Flanders",2021,2,2.64285714285714,74,"February",14455,5.1193358699412
"11001","Aartselaar","Antwerpen","Flanders",2021,3,3.61290322580645,112,"March",14455,7.74818401937046
"11001","Aartselaar","Antwerpen","Flanders",2021,4,2.5,75,"April",14455,5.18851608439986
"11001","Aartselaar","Antwerpen","Flanders",2021,5,1.74193548387097,54,"May",14455,3.7357315807679
"11001","Aartselaar","Antwerpen","Flanders",2021,6,1.1,33,"June",14455,2.28294707713594
"11001","Aartselaar","Antwerpen","Flanders",2021,7,2.64516129032258,82,"July",14455,5.67277758561052
"11001","Aartselaar","Antwerpen","Flanders",2021,8,2.2258064516129,69,"August",14455,4.77343479764787
"11001","Aartselaar","Antwerpen","Flanders",2021,9,1.56666666666667,47,"September",14455,3.25147007955725
"11001","Aartselaar","Antwerpen","Flanders",2021,10,5.41935483870968,168,"October",14455,11.6222760290557
"11001","Aartselaar","Antwerpen","Flanders",2021,11,21.2666666666667,638,"November",14455,44.1369768246282
"11001","Aartselaar","Antwerpen","Flanders",2021,12,9.7741935483871,303,"December",14455,20.9616049809754
"11002","Antwerpen","Antwerpen","Flanders",2021,1,100.645161290323,3120,"January",529417,5.89327505539112
"11002","Antwerpen","Antwerpen","Flanders",2021,2,119.571428571429,3348,"February",529417,6.32393746328509
"11002","Antwerpen","Antwerpen","Flanders",2021,3,193.193548387097,5989,"March",529417,11.3124436880569
"11002","Antwerpen","Antwerpen","Flanders",2021,4,175.566666666667,5267,"April",529417,9.94867939639264
"11002","Antwerpen","Antwerpen","Flanders",2021,5,132.096774193548,4095,"May",529417,7.73492351020084
"11002","Antwerpen","Antwerpen","Flanders",2021,6,44.7333333333333,1342,"June",529417,2.53486382190221
"11002","Antwerpen","Antwerpen","Flanders",2021,7,58.8709677419355,1825,"July",529417,3.44718813336179
"11002","Antwerpen","Antwerpen","Flanders",2021,8,119.387096774194,3701,"August",529417,6.99070864743671
"11002","Antwerpen","Antwerpen","Flanders",2021,9,96.6666666666667,2900,"September",529417,5.47772360917764
"11002","Antwerpen","Antwerpen","Flanders",2021,10,171.064516129032,5303,"October",529417,10.0166787239548
"11002","Antwerpen","Antwerpen","Flanders",2021,11,454.6,13638,"November",529417,25.7604119248154
"11002","Antwerpen","Antwerpen","Flanders",2021,12,350.064516129032,10852,"December",529417,20.4980195195847
"11004","Boechout","Antwerpen","Flanders",2021,1,1.83870967741935,57,"January",13527,4.21379463295631
"11004","Boechout","Antwerpen","Flanders",2021,2,1.85714285714286,52,"February",13527,3.84416352480225
"11004","Boechout","Antwerpen","Flanders",2021,3,2.93548387096774,91,"March",13527,6.72728616840393
"11004","Boechout","Antwerpen","Flanders",2021,4,3.53333333333333,106,"April",13527,7.83617949286612
"11004","Boechout","Antwerpen","Flanders",2021,5,3.41935483870968,106,"May",13527,7.83617949286612
"11004","Boechout","Antwerpen","Flanders",2021,6,0.5,15,"June",13527,1.10889332446219
"11004","Boechout","Antwerpen","Flanders",2021,7,2.06451612903226,64,"July",13527,4.731278184372
"11004","Boechout","Antwerpen","Flanders",2021,8,1.90322580645161,59,"August",13527,4.36164707621793
"11004","Boechout","Antwerpen","Flanders",2021,9,1.8,54,"September",13527,3.99201596806387
"11004","Boechout","Antwerpen","Flanders",2021,10,6.19354838709677,192,"October",13527,14.193834553116
"11004","Boechout","Antwerpen","Flanders",2021,11,17.5333333333333,526,"November",13527,38.8851925778074
"11004","Boechout","Antwerpen","Flanders",2021,12,11.6129032258065,360,"December",13527,26.6134397870925
"11005","Boom","Antwerpen","Flanders",2021,1,2.41935483870968,75,"January",18799,3.98957391350604
"11005","Boom","Antwerpen","Flanders",2021,2,2.14285714285714,60,"February",18799,3.19165913080483
"11005","Boom","Antwerpen","Flanders",2021,3,6.61290322580645,205,"March",18799,10.9048353635832
"11005","Boom","Antwerpen","Flanders",2021,4,6.16666666666667,185,"April",18799,9.84094898664823
"11005","Boom","Antwerpen","Flanders",2021,5,3.7741935483871,117,"May",18799,6.22373530506942
"11005","Boom","Antwerpen","Flanders",2021,6,2.43333333333333,73,"June",18799,3.88318527581254
"11005","Boom","Antwerpen","Flanders",2021,7,2.70967741935484,84,"July",18799,4.46832278312676
"11005","Boom","Antwerpen","Flanders",2021,8,4.96774193548387,154,"August",18799,8.19192510239906
"11005","Boom","Antwerpen","Flanders",2021,9,3.43333333333333,103,"September",18799,5.47901484121496
"11005","Boom","Antwerpen","Flanders",2021,10,4.93548387096774,153,"October",18799,8.13873078355232
"11005","Boom","Antwerpen","Flanders",2021,11,19.8,594,"November",18799,31.5974253949678
"11005","Boom","Antwerpen","Flanders",2021,12,15.4193548387097,478,"December",18799,25.4268844087451
"11007","Borsbeek","Antwerpen","Flanders",2021,1,1.83870967741935,57,"January",11077,5.14579759862779
"11007","Borsbeek","Antwerpen","Flanders",2021,2,2.10714285714286,59,"February",11077,5.32635190033402
"11007","Borsbeek","Antwerpen","Flanders",2021,3,3.45161290322581,107,"March",11077,9.65965514128374
"11007","Borsbeek","Antwerpen","Flanders",2021,4,2.6,78,"April",11077,7.04161776654329
"11007","Borsbeek","Antwerpen","Flanders",2021,5,2.83870967741935,88,"May",11077,7.94438927507448
"11007","Borsbeek","Antwerpen","Flanders",2021,6,1,30,"June",11077,2.70831452559357
"11007","Borsbeek","Antwerpen","Flanders",2021,7,1.67741935483871,52,"July",11077,4.69441184436219
"11007","Borsbeek","Antwerpen","Flanders",2021,8,1.51612903225806,47,"August",11077,4.2430260900966
"11007","Borsbeek","Antwerpen","Flanders",2021,9,1.76666666666667,53,"September",11077,4.78468899521531
"11007","Borsbeek","Antwerpen","Flanders",2021,10,6.7741935483871,210,"October",11077,18.958201679155
"11007","Borsbeek","Antwerpen","Flanders",2021,11,12.7333333333333,382,"November",11077,34.4858716258915
"11007","Borsbeek","Antwerpen","Flanders",2021,12,6.48387096774194,201,"December",11077,18.1457073214769
"11008","Brasschaat","Antwerpen","Flanders",2021,1,4.16129032258065,129,"January",38211,3.37599120672058
"11008","Brasschaat","Antwerpen","Flanders",2021,2,4.28571428571429,120,"February",38211,3.14045693648426
"11008","Brasschaat","Antwerpen","Flanders",2021,3,8.80645161290323,273,"March",38211,7.14453953050169
"11008","Brasschaat","Antwerpen","Flanders",2021,4,7.53333333333333,226,"April",38211,5.91452723037869
"11008","Brasschaat","Antwerpen","Flanders",2021,5,5.35483870967742,166,"May",38211,4.34429876213656
"11008","Brasschaat","Antwerpen","Flanders",2021,6,1.7,51,"June",38211,1.33469419800581
"11008","Brasschaat","Antwerpen","Flanders",2021,7,4.90322580645161,152,"July",38211,3.97791211954673
"11008","Brasschaat","Antwerpen","Flanders",2021,8,3.67741935483871,114,"August",38211,2.98343408966005
"11008","Brasschaat","Antwerpen","Flanders",2021,9,2.86666666666667,86,"September",38211,2.25066080448039
"11008","Brasschaat","Antwerpen","Flanders",2021,10,10.3548387096774,321,"October",38211,8.40072230509539
"11008","Brasschaat","Antwerpen","Flanders",2021,11,48.1666666666667,1445,"November",38211,37.8163356101646
"11008","Brasschaat","Antwerpen","Flanders",2021,12,30.8709677419355,957,"December",38211,25.045144068462
"11009","Brecht","Antwerpen","Flanders",2021,1,3.45161290322581,107,"January",29809,3.58951994364118
"11009","Brecht","Antwerpen","Flanders",2021,2,3.17857142857143,89,"February",29809,2.9856754671408
"11009","Brecht","Antwerpen","Flanders",2021,3,6.61290322580645,205,"March",29809,6.87711764903217
"11009","Brecht","Antwerpen","Flanders",2021,4,6.43333333333333,193,"April",29809,6.47455466469858
"11009","Brecht","Antwerpen","Flanders",2021,5,4.48387096774194,139,"May",29809,4.66302123519742
"11009","Brecht","Antwerpen","Flanders",2021,6,1.6,48,"June",29809,1.61025193733436
"11009","Brecht","Antwerpen","Flanders",2021,7,2.83870967741935,88,"July",29809,2.95212855177966
"11009","Brecht","Antwerpen","Flanders",2021,8,2.74193548387097,85,"August",29809,2.85148780569627
