"mcp_code","mcp_name","province","region","year","month","mean_monthly","total_monthly"
11001,"Aartselaar","Antwerpen","Flanders",2020,9,2.23333333333333,67
11001,"Aartselaar","Antwerpen","Flanders",2020,10,7.03225806451613,218
11001,"Aartselaar","Antwerpen","Flanders",2020,11,4.33333333333333,130
11001,"Aartselaar","Antwerpen","Flanders",2020,12,1.83870967741935,57
11001,"Aartselaar","Antwerpen","Flanders",2021,1,1.83870967741935,57
11001,"Aartselaar","Antwerpen","Flanders",2021,2,2.64285714285714,74
11001,"Aartselaar","Antwerpen","Flanders",2021,3,3.61290322580645,112
11001,"Aartselaar","Antwerpen","Flanders",2021,4,2.5,75
11001,"Aartselaar","Antwerpen","Flanders",2021,5,1.74193548387097,54
11001,"Aartselaar","Antwerpen","Flanders",2021,6,1.1,33
11001,"Aartselaar","Antwerpen","Flanders",2021,7,2.64516129032258,82
11001,"Aartselaar","Antwerpen","Flanders",2021,8,2.2258064516129,69
11001,"Aartselaar","Antwerpen","Flanders",2021,9,1.56666666666667,47
11001,"Aartselaar","Antwerpen","Flanders",2021,10,5.41935483870968,168
11001,"Aartselaar","Antwerpen","Flanders",2021,11,21.2666666666667,638
11001,"Aartselaar","Antwerpen","Flanders",2021,12,9.7741935483871,303
11001,"Aartselaar","Antwerpen","Flanders",2022,1,46.4516129032258,1440
11002,"Antwerpen","Antwerpen","Flanders",2020,9,118.466666666667,3554
11002,"Antwerpen","Antwerpen","Flanders",2020,10,360,11160
11002,"Antwerpen","Antwerpen","Flanders",2020,11,178.933333333333,5368
11002,"Antwerpen","Antwerpen","Flanders",2020,12,110.225806451613,3417
11002,"Antwerpen","Antwerpen","Flanders",2021,1,100.645161290323,3120
11002,"Antwerpen","Antwerpen","Flanders",2021,2,119.571428571429,3348
11002,"Antwerpen","Antwerpen","Flanders",2021,3,193.193548387097,5989
11002,"Antwerpen","Antwerpen","Flanders",2021,4,175.566666666667,5267
11002,"Antwerpen","Antwerpen","Flanders",2021,5,132.096774193548,4095
11002,"Antwerpen","Antwerpen","Flanders",2021,6,44.7333333333333,1342
11002,"Antwerpen","Antwerpen","Flanders",2021,7,58.8709677419355,1825
11002,"Antwerpen","Antwerpen","Flanders",2021,8,119.387096774194,3701
11002,"Antwerpen","Antwerpen","Flanders",2021,9,96.6666666666667,2900
11002,"Antwerpen","Antwerpen","Flanders",2021,10,171.064516129032,5303
11002,"Antwerpen","Antwerpen","Flanders",2021,11,454.6,13638
11002,"Antwerpen","Antwerpen","Flanders",2021,12,350.064516129032,10852
11002,"Antwerpen","Antwerpen","Flanders",2022,1,1675.77419354839,51949
11004,"Boechout","Antwerpen","Flanders",2020,9,1.36666666666667,41
11004,"Boechout","Antwerpen","Flanders",2020,10,5.29032258064516,164
11004,"Boechout","Antwerpen","Flanders",2020,11,2.93333333333333,88
11004,"Boechout","Antwerpen","Flanders",2020,12,4.32258064516129,134
11004,"Boechout","Antwerpen","Flanders",2021,1,1.83870967741935,57
11004,"Boechout","Antwerpen","Flanders",2021,2,1.85714285714286,52
11004,"Boechout","Antwerpen","Flanders",2021,3,2.93548387096774,91
11004,"Boechout","Antwerpen","Flanders",2021,4,3.53333333333333,106
11004,"Boechout","Antwerpen","Flanders",2021,5,3.41935483870968,106
11004,"Boechout","Antwerpen","Flanders",2021,6,0.5,15
11004,"Boechout","Antwerpen","Flanders",2021,7,2.06451612903226,64
11004,"Boechout","Antwerpen","Flanders",2021,8,1.90322580645161,59
11004,"Boechout","Antwerpen","Flanders",2021,9,1.8,54
11004,"Boechout","Antwerpen","Flanders",2021,10,6.19354838709677,192
11004,"Boechout","Antwerpen","Flanders",2021,11,17.5333333333333,526
11004,"Boechout","Antwerpen","Flanders",2021,12,11.6129032258065,360
11004,"Boechout","Antwerpen","Flanders",2022,1,38.4838709677419,1193
11005,"Boom","Antwerpen","Flanders",2020,9,5.43333333333333,163
11005,"Boom","Antwerpen","Flanders",2020,10,10.1935483870968,316
11005,"Boom","Antwerpen","Flanders",2020,11,5.3,159
11005,"Boom","Antwerpen","Flanders",2020,12,2.25806451612903,70
11005,"Boom","Antwerpen","Flanders",2021,1,2.41935483870968,75
11005,"Boom","Antwerpen","Flanders",2021,2,2.14285714285714,60
11005,"Boom","Antwerpen","Flanders",2021,3,6.61290322580645,205
11005,"Boom","Antwerpen","Flanders",2021,4,6.16666666666667,185
11005,"Boom","Antwerpen","Flanders",2021,5,3.7741935483871,117
11005,"Boom","Antwerpen","Flanders",2021,6,2.43333333333333,73
11005,"Boom","Antwerpen","Flanders",2021,7,2.70967741935484,84
11005,"Boom","Antwerpen","Flanders",2021,8,4.96774193548387,154
11005,"Boom","Antwerpen","Flanders",2021,9,3.43333333333333,103
11005,"Boom","Antwerpen","Flanders",2021,10,4.93548387096774,153
11005,"Boom","Antwerpen","Flanders",2021,11,19.8,594
11005,"Boom","Antwerpen","Flanders",2021,12,15.4193548387097,478
11005,"Boom","Antwerpen","Flanders",2022,1,64.8387096774194,2010
11007,"Borsbeek","Antwerpen","Flanders",2020,9,1.4,42
11007,"Borsbeek","Antwerpen","Flanders",2020,10,5.90322580645161,183
11007,"Borsbeek","Antwerpen","Flanders",2020,11,2.9,87
11007,"Borsbeek","Antwerpen","Flanders",2020,12,2.19354838709677,68
11007,"Borsbeek","Antwerpen","Flanders",2021,1,1.83870967741935,57
11007,"Borsbeek","Antwerpen","Flanders",2021,2,2.10714285714286,59
11007,"Borsbeek","Antwerpen","Flanders",2021,3,3.45161290322581,107
11007,"Borsbeek","Antwerpen","Flanders",2021,4,2.6,78
11007,"Borsbeek","Antwerpen","Flanders",2021,5,2.83870967741935,88
11007,"Borsbeek","Antwerpen","Flanders",2021,6,1,30
11007,"Borsbeek","Antwerpen","Flanders",2021,7,1.67741935483871,52
11007,"Borsbeek","Antwerpen","Flanders",2021,8,1.51612903225806,47
11007,"Borsbeek","Antwerpen","Flanders",2021,9,1.76666666666667,53
11007,"Borsbeek","Antwerpen","Flanders",2021,10,6.7741935483871,210
11007,"Borsbeek","Antwerpen","Flanders",2021,11,12.7333333333333,382
11007,"Borsbeek","Antwerpen","Flanders",2021,12,6.48387096774194,201
11007,"Borsbeek","Antwerpen","Flanders",2022,1,30.741935483871,953
11008,"Brasschaat","Antwerpen","Flanders",2020,9,2.9,87
11008,"Brasschaat","Antwerpen","Flanders",2020,10,15.4193548387097,478
11008,"Brasschaat","Antwerpen","Flanders",2020,11,8.53333333333333,256
11008,"Brasschaat","Antwerpen","Flanders",2020,12,9.09677419354839,282
11008,"Brasschaat","Antwerpen","Flanders",2021,1,4.16129032258065,129
11008,"Brasschaat","Antwerpen","Flanders",2021,2,4.28571428571429,120
11008,"Brasschaat","Antwerpen","Flanders",2021,3,8.80645161290323,273
11008,"Brasschaat","Antwerpen","Flanders",2021,4,7.53333333333333,226
11008,"Brasschaat","Antwerpen","Flanders",2021,5,5.35483870967742,166
11008,"Brasschaat","Antwerpen","Flanders",2021,6,1.7,51
11008,"Brasschaat","Antwerpen","Flanders",2021,7,4.90322580645161,152
11008,"Brasschaat","Antwerpen","Flanders",2021,8,3.67741935483871,114
11008,"Brasschaat","Antwerpen","Flanders",2021,9,2.86666666666667,86
11008,"Brasschaat","Antwerpen","Flanders",2021,10,10.3548387096774,321
11008,"Brasschaat","Antwerpen","Flanders",2021,11,48.1666666666667,1445
11008,"Brasschaat","Antwerpen","Flanders",2021,12,30.8709677419355,957
11008,"Brasschaat","Antwerpen","Flanders",2022,1,106.129032258065,3290
11009,"Brecht","Antwerpen","Flanders",2020,9,2.8,84
11009,"Brecht","Antwerpen","Flanders",2020,10,12.3870967741935,384
11009,"Brecht","Antwerpen","Flanders",2020,11,7,210
11009,"Brecht","Antwerpen","Flanders",2020,12,6.32258064516129,196
11009,"Brecht","Antwerpen","Flanders",2021,1,3.45161290322581,107
11009,"Brecht","Antwerpen","Flanders",2021,2,3.17857142857143,89
11009,"Brecht","Antwerpen","Flanders",2021,3,6.61290322580645,205
11009,"Brecht","Antwerpen","Flanders",2021,4,6.43333333333333,193
11009,"Brecht","Antwerpen","Flanders",2021,5,4.48387096774194,139
11009,"Brecht","Antwerpen","Flanders",2021,6,1.6,48
11009,"Brecht","Antwerpen","Flanders",2021,7,2.83870967741935,88
11009,"Brecht","Antwerpen","Flanders",2021,8,2.74193548387097,85
11009,"Brecht","Antwerpen","Flanders",2021,9,2.6,78
11009,"Brecht","Antwerpen","Flanders",2021,10,15.4193548387097,478
11009,"Brecht","Antwerpen","Flanders",2021,11,42.6333333333333,1279
11009,"Brecht","Antwerpen","Flanders",2021,12,25.5161290322581,791
11009,"Brecht","Antwerpen","Flanders",2022,1,71.3225806451613,2211
11013,"Edegem","Antwerpen","Flanders",2020,9,3,90
11013,"Edegem","Antwerpen","Flanders",2020,10,10.5483870967742,327
11013,"Edegem","Antwerpen","Flanders",2020,11,5.8,174
11013,"Edegem","Antwerpen","Flanders",2020,12,3.45161290322581,107
11013,"Edegem","Antwerpen","Flanders",2021,1,2.51612903225806,78
11013,"Edegem","Antwerpen","Flanders",2021,2,2.85714285714286,80
11013,"Edegem","Antwerpen","Flanders",2021,3,5,155
11013,"Edegem","Antwerpen","Flanders",2021,4,4.26666666666667,128
11013,"Edegem","Antwerpen","Flanders",2021,5,4.87096774193548,151
11013,"Edegem","Antwerpen","Flanders",2021,6,1.63333333333333,49
11013,"Edegem","Antwerpen","Flanders",2021,7,4.03225806451613,125
11013,"Edegem","Antwerpen","Flanders",2021,8,2.35483870967742,73
11013,"Edegem","Antwerpen","Flanders",2021,9,3.86666666666667,116
11013,"Edegem","Antwerpen","Flanders",2021,10,11.2903225806452,350
11013,"Edegem","Antwerpen","Flanders",2021,11,26.1333333333333,784
11013,"Edegem","Antwerpen","Flanders",2021,12,18.7741935483871,582
11013,"Edegem","Antwerpen","Flanders",2022,1,72.5161290322581,2248
11016,"Essen","Antwerpen","Flanders",2020,9,2.46666666666667,74
11016,"Essen","Antwerpen","Flanders",2020,10,6.25806451612903,194
11016,"Essen","Antwerpen","Flanders",2020,11,4.36666666666667,131
11016,"Essen","Antwerpen","Flanders",2020,12,7.38709677419355,229
11016,"Essen","Antwerpen","Flanders",2021,1,3.70967741935484,115
11016,"Essen","Antwerpen","Flanders",2021,2,3.39285714285714,95
11016,"Essen","Antwerpen","Flanders",2021,3,6.41935483870968,199
11016,"Essen","Antwerpen","Flanders",2021,4,4.4,132
