"","mcp_code","mcp_name","province","region","year","week_num","cases_per_week"
"1",11001,"Aartselaar","Antwerpen","Flanders",2020,36,12
"2",11001,"Aartselaar","Antwerpen","Flanders",2020,37,15
"3",11001,"Aartselaar","Antwerpen","Flanders",2020,38,13
"4",11001,"Aartselaar","Antwerpen","Flanders",2020,39,22
"5",11001,"Aartselaar","Antwerpen","Flanders",2020,40,14
"6",11001,"Aartselaar","Antwerpen","Flanders",2020,41,44
"7",11001,"Aartselaar","Antwerpen","Flanders",2020,42,50
"8",11001,"Aartselaar","Antwerpen","Flanders",2020,43,81
"9",11001,"Aartselaar","Antwerpen","Flanders",2020,44,51
"10",11001,"Aartselaar","Antwerpen","Flanders",2020,45,43
"11",11001,"Aartselaar","Antwerpen","Flanders",2020,46,33
"12",11001,"Aartselaar","Antwerpen","Flanders",2020,47,16
"13",11001,"Aartselaar","Antwerpen","Flanders",2020,48,15
"14",11001,"Aartselaar","Antwerpen","Flanders",2020,49,6
"15",11001,"Aartselaar","Antwerpen","Flanders",2020,50,10
"16",11001,"Aartselaar","Antwerpen","Flanders",2020,51,26
"17",11001,"Aartselaar","Antwerpen","Flanders",2020,52,6
"18",11001,"Aartselaar","Antwerpen","Flanders",2021,1,10
"19",11001,"Aartselaar","Antwerpen","Flanders",2021,2,7
"20",11001,"Aartselaar","Antwerpen","Flanders",2021,3,18
"21",11001,"Aartselaar","Antwerpen","Flanders",2021,4,22
"22",11001,"Aartselaar","Antwerpen","Flanders",2021,5,18
"23",11001,"Aartselaar","Antwerpen","Flanders",2021,6,16
"24",11001,"Aartselaar","Antwerpen","Flanders",2021,7,14
"25",11001,"Aartselaar","Antwerpen","Flanders",2021,8,19
"26",11001,"Aartselaar","Antwerpen","Flanders",2021,9,25
"27",11001,"Aartselaar","Antwerpen","Flanders",2021,10,32
"28",11001,"Aartselaar","Antwerpen","Flanders",2021,11,20
"29",11001,"Aartselaar","Antwerpen","Flanders",2021,12,30
"30",11001,"Aartselaar","Antwerpen","Flanders",2021,13,17
"31",11001,"Aartselaar","Antwerpen","Flanders",2021,14,16
"32",11001,"Aartselaar","Antwerpen","Flanders",2021,15,29
"33",11001,"Aartselaar","Antwerpen","Flanders",2021,16,15
"34",11001,"Aartselaar","Antwerpen","Flanders",2021,17,10
"35",11001,"Aartselaar","Antwerpen","Flanders",2021,18,15
"36",11001,"Aartselaar","Antwerpen","Flanders",2021,19,3
"37",11001,"Aartselaar","Antwerpen","Flanders",2021,20,10
"38",11001,"Aartselaar","Antwerpen","Flanders",2021,21,23
"39",11001,"Aartselaar","Antwerpen","Flanders",2021,22,6
"40",11001,"Aartselaar","Antwerpen","Flanders",2021,23,14
"41",11001,"Aartselaar","Antwerpen","Flanders",2021,24,12
"42",11001,"Aartselaar","Antwerpen","Flanders",2021,25,0
"43",11001,"Aartselaar","Antwerpen","Flanders",2021,26,4
"44",11001,"Aartselaar","Antwerpen","Flanders",2021,27,8
"45",11001,"Aartselaar","Antwerpen","Flanders",2021,28,28
"46",11001,"Aartselaar","Antwerpen","Flanders",2021,29,14
"47",11001,"Aartselaar","Antwerpen","Flanders",2021,30,24
"48",11001,"Aartselaar","Antwerpen","Flanders",2021,31,24
"49",11001,"Aartselaar","Antwerpen","Flanders",2021,32,18
