"mcp_code","year","week_num","cumul_week"
11001,"21","1",2
11001,"21","10",658
11001,"21","11",742
11001,"21","12",818
11001,"21","13",891
11001,"21","14",942
11001,"21","15",1076
11001,"21","16",1084
11001,"21","17",1106
11001,"21","18",1505
11001,"21","19",2310
11001,"21","2",2
11001,"21","20",2793
11001,"21","21",3529
11001,"21","22",3995
11001,"21","23",4563
11001,"21","24",5046
11001,"21","25",5513
11001,"21","26",5609
11001,"21","27",6764
11001,"21","28",7638
11001,"21","29",8743
11001,"21","3",2
11001,"21","30",9406
11001,"21","31",10303
11001,"21","32",10549
11001,"21","33",10953
11001,"21","34",11255
11001,"21","35",11676
11001,"21","36",11761
11001,"21","37",11871
11001,"21","38",11949
11001,"21","39",11988
11001,"21","4",6
11001,"21","40",11999
11001,"21","41",12001
11001,"21","42",12007
11001,"21","43",12042
11001,"21","44",12046
11001,"21","45",12050
11001,"21","46",12061
11001,"21","47",12070
11001,"21","48",12074
11001,"21","49",12102
11001,"21","5",161
11001,"21","50",12130
11001,"21","51",12149
11001,"21","52",12150
11001,"21","6",442
11001,"21","7",516
11001,"21","8",551
11001,"21","9",588
11001,"22","1",12163
11001,"22","10",12633
11001,"22","11",12643
11001,"22","12",12649
11001,"22","13",12658
11001,"22","14",12661
11001,"22","15",12661
11001,"22","16",12664
11001,"22","17",12664
11001,"22","18",12664
11001,"22","19",12664
11001,"22","2",12178
11001,"22","20",12664
11001,"22","21",12664
11001,"22","22",12666
11001,"22","23",12667
11001,"22","24",12667
11001,"22","25",12667
11001,"22","26",12667
11001,"22","27",12667
11001,"22","28",12668
11001,"22","29",12668
11001,"22","3",12179
11001,"22","30",12669
11001,"22","31",12669
11001,"22","32",12669
11001,"22","33",12670
11001,"22","34",12670
11001,"22","35",12670
11001,"22","36",12670
11001,"22","37",12671
11001,"22","38",12671
11001,"22","39",12671
11001,"22","4",12185
11001,"22","40",12671
11001,"22","41",12671
11001,"22","42",12672
11001,"22","43",12672
11001,"22","44",12672
11001,"22","45",12673
11001,"22","46",12673
11001,"22","47",12673
11001,"22","48",12674
11001,"22","49",12674
11001,"22","5",12222
11001,"22","50",12674
11001,"22","51",12674
11001,"22","52",12674
11001,"22","6",12450
11001,"22","7",12534
11001,"22","8",12598
11001,"22","9",12612
11002,"21","1",12
11002,"21","10",13386
11002,"21","11",15303
11002,"21","12",17313
11002,"21","13",19212
11002,"21","14",21602
11002,"21","15",23034
11002,"21","16",24345
11002,"21","17",27084
11002,"21","18",42829
11002,"21","19",50291
11002,"21","2",33
11002,"21","20",69243
11002,"21","21",76850
11002,"21","22",88530
11002,"21","23",105719
11002,"21","24",126553
11002,"21","25",147028
11002,"21","26",166447
11002,"21","27",206692
11002,"21","28",226090
11002,"21","29",259056
11002,"21","3",74
11002,"21","30",287920
11002,"21","31",305610
